raceId,driverId,constructorId,points
73,14,9,1
73,22,6,0
73,33,17,0
73,35,15,0
73,40,18,0
73,27,18,0
73,18,16,0
73,11,16,0
73,2,3,0
73,30,6,0
73,21,4,0
73,39,17,0
73,32,9,0
74,4,4,10
74,30,6,8
74,25,1,6
74,35,15,5
74,15,7,4
74,2,3,3
74,17,3,2
74,24,9,1
74,23,7,0
74,13,15,0
74,14,9,0
74,39,17,0
74,33,17,0
74,27,18,0
74,22,6,0
74,8,1,0
74,40,18,0
74,21,4,0
74,18,16,0
74,11,16,0
75,8,1,10
75,4,4,8
75,15,7,6
75,23,7,5
75,21,4,4
75,17,3,3
75,31,1,2
75,14,9,1
75,22,6,0
75,2,3,0
75,13,15,0
75,33,17,0
75,39,17,0
75,35,15,0
75,30,6,0
75,27,18,0
75,40,18,0
75,24,9,0
76,8,1,10
76,2,3,8
76,17,3,6
76,4,4,5
76,31,1,4
76,23,7,3
76,30,6,2
76,22,6,1
76,13,15,0
76,15,7,0
76,35,15,0
76,21,4,0
76,33,17,0
76,27,18,0
76,24,9,0
76,40,18,0
76,14,9,0
76,39,17,0
77,4,4,10
77,2,3,8
77,22,6,6
77,14,9,5
77,30,6,4
77,21,4,3
77,31,1,2
77,15,7,1
77,24,9,0
77,18,16,0
77,8,1,0
77,11,16,0
77,35,15,0
77,13,15,0
77,33,17,0
77,39,17,0
77,27,18,0
77,40,18,0
77,23,7,0
77,17,3,0
78,8,1,10
78,30,6,8
78,22,6,6
78,13,15,5
78,17,3,4
78,23,7,3
78,14,9,2
78,32,9,1
78,35,15,0
78,33,17,0
78,27,18,0
78,15,7,0
78,18,16,0
78,2,3,0
78,11,16,0
78,40,18,0
78,4,4,0
78,21,4,0
78,39,17,0
78,31,1,0
79,30,6,10
79,22,6,8
79,33,17,6
79,39,17,5
79,27,18,4
79,40,18,3
79,15,7,0
79,8,1,0
79,18,16,0
79,21,4,0
79,4,4,0
79,11,16,0
79,17,3,0
79,13,15,0
79,31,1,0
79,35,15,0
79,41,7,0
79,32,9,0
79,2,3,0
79,14,9,0
80,4,4,10
80,8,1,8
80,30,6,6
80,18,16,5
80,15,7,4
80,21,4,3
80,23,7,2
80,35,15,1
80,22,6,0
80,14,9,0
80,11,16,0
80,17,3,0
80,33,17,0
80,2,3,0
80,39,17,0
80,31,1,0
80,27,18,0
80,40,18,0
80,13,15,0
80,32,9,0
81,31,1,10
81,4,4,8
81,8,1,6
81,21,4,5
81,18,16,4
81,30,6,3
81,22,6,2
81,23,7,1
81,15,7,0
81,13,15,0
81,17,3,0
81,2,3,0
81,14,9,0
81,35,15,0
81,32,9,0
81,11,16,0
81,33,17,0
81,27,18,0
81,40,18,0
81,39,17,0
82,4,4,10
82,31,1,8
82,18,16,6
82,21,4,5
82,30,6,4
82,23,7,3
82,14,9,2
82,13,15,1
82,32,9,0
82,22,6,0
82,2,3,0
82,11,16,0
82,27,18,0
82,15,7,0
82,35,15,0
82,39,17,0
82,33,17,0
82,38,18,0
82,17,3,0
82,8,1,0
83,8,1,10
83,30,6,8
83,23,7,6
83,15,7,5
83,18,16,4
83,2,3,3
83,17,3,2
83,11,16,1
83,21,4,0
83,22,6,0
83,4,4,0
83,39,17,0
83,33,17,0
83,13,15,0
83,27,18,0
83,35,15,0
83,31,1,0
83,38,18,0
83,14,9,0
83,32,9,0
84,8,1,10
84,4,4,8
84,31,1,6
84,21,4,5
84,18,16,4
84,15,7,3
84,14,9,2
84,32,9,1
84,11,16,0
84,22,6,0
84,35,15,0
84,23,7,0
84,38,18,0
84,39,17,0
84,33,17,0
84,27,18,0
84,30,6,0
84,2,3,0
84,13,15,0
84,17,3,0
85,31,1,10
85,4,4,8
85,21,4,6
85,8,1,5
85,15,7,4
85,23,7,3
85,42,3,2
85,18,16,1
85,13,15,0
85,30,6,0
85,35,15,0
85,22,6,0
85,32,9,0
85,17,3,0
85,14,9,0
85,11,16,0
85,33,17,0
85,38,18,0
85,27,18,0
85,39,17,0
86,8,1,10
86,4,4,8
86,18,16,6
86,17,3,5
86,22,6,4
86,35,15,3
86,23,7,2
86,33,17,1
86,32,9,0
86,13,15,0
86,39,17,0
86,27,18,0
86,38,18,0
86,31,1,0
86,42,3,0
86,15,7,0
86,14,9,0
86,30,6,0
86,11,16,0
86,21,4,0
87,31,1,10
87,8,1,8
87,4,4,6
87,30,6,5
87,21,4,4
87,22,6,3
87,18,16,2
87,23,7,1
87,32,9,0
87,11,16,0
87,13,15,0
87,35,15,0
87,15,7,0
87,27,18,0
87,39,17,0
87,33,17,0
87,17,3,0
87,38,18,0
87,42,3,0
87,14,9,0
88,8,1,10
88,21,4,8
88,4,4,6
88,17,3,5
88,18,16,4
88,14,9,3
88,30,6,2
88,23,7,1
