date,state_id,deaths,new_positive_tests,new_negative_tests,new_hospitalizations
2020/6/23,51,6,0,42,0
2020/6/23,52,56,1,720,0
2020/6/23,53,1276,616,12482,13
2020/6/23,54,750,297,11531,37
2020/6/23,55,92,30,3094,0
2020/6/23,56,20,24,1323,4
2020/6/22,1,12,6,2767,0
2020/6/22,2,841,433,3999,11
2020/6/22,3,227,941,13164,12
2020/6/22,4,0,0,0,0
2020/6/22,5,1342,2196,7850,0
2020/6/22,6,5515,4230,88200,0
2020/6/22,7,1429,190,4196,4
2020/6/22,8,4263,27,6324,0
2020/6/22,9,535,38,2444,0
2020/6/22,10,504,45,1704,0
2020/6/22,11,3266,2926,15265,82
2020/6/22,12,2648,1227,8492,116
2020/6/22,13,5,2,392,0
2020/6/22,14,17,11,840,1
2020/6/22,15,686,88,1392,0
2020/6/22,16,89,0,0,0
2020/6/22,17,6875,462,17757,0
2020/6/22,18,2553,210,6786,31
2020/6/22,19,259,406,6958,21
2020/6/22,20,526,89,4662,10
2020/6/22,21,3117,461,6791,0
2020/6/22,22,7874,149,6594,9
2020/6/22,23,3074,297,5397,28
2020/6/22,24,102,14,0,0
2020/6/22,25,6097,246,10345,0
2020/6/22,26,1416,307,8467,33
2020/6/22,27,961,140,2077,0
2020/6/22,28,2,0,0,0
2020/6/22,29,978,1646,12888,114
2020/6/22,30,21,23,925,1
2020/6/22,31,1223,804,10766,0
2020/6/22,32,72,25,1255,2
2020/6/22,33,244,103,2164,0
2020/6/22,34,339,26,2951,2
2020/6/22,35,14651,273,22159,134
2020/6/22,36,469,0,0,0
2020/6/22,37,492,330,2044,0
2020/6/22,38,24739,552,56228,0
2020/6/22,39,2704,729,15651,50
2020/6/22,40,369,218,0,25
2020/6/22,41,192,146,3871,23
2020/6/22,42,6426,456,9647,0
2020/6/22,43,149,39,0,0
2020/6/22,44,903,59,1596,28
2020/6/22,45,659,1008,205,0
2020/6/22,46,81,29,274,8
2020/6/22,47,531,451,14025,10
2020/6/22,48,2192,3280,19549,0
2020/6/22,49,158,444,2473,8
2020/6/22,50,1620,471,11976,2
2020/6/22,51,6,0,0,0
2020/6/22,52,56,4,758,0
2020/6/22,53,1270,719,12915,19
2020/6/22,54,745,263,6300,11
2020/6/22,55,89,9,606,0
2020/6/22,56,20,33,0,5
2020/6/21,1,12,12,1121,0
2020/6/21,2,839,472,4683,17
2020/6/21,3,224,0,0,52
2020/6/21,4,0,0,0,0
2020/6/21,5,1339,2592,11872,3
2020/6/21,6,5495,4515,80329,0
2020/6/21,7,1429,162,5155,5
2020/6/21,8,4260,40,2003,0
2020/6/21,9,533,36,1533,0
2020/6/21,10,504,94,2464,0
2020/6/21,11,3254,3494,34530,98
2020/6/21,12,2643,892,3031,0
2020/6/21,13,5,0,0,0
2020/6/21,14,17,14,1112,0
2020/6/21,15,685,467,6478,0
2020/6/21,16,89,135,1637,4
2020/6/21,17,6851,658,23158,0
2020/6/21,18,2540,362,9756,33
2020/6/21,19,254,0,0,0
2020/6/21,20,526,120,0,0
2020/6/21,21,3105,393,5603,0
2020/6/21,22,7858,125,8258,9
2020/6/21,23,3066,350,6401,47
2020/6/21,24,102,19,1395,3
2020/6/21,25,6090,166,12626,0
2020/6/21,26,1412,453,11867,30
2020/6/21,27,956,413,3629,0
2020/6/21,28,2,0,0,0
2020/6/21,29,938,0,0,0
2020/6/21,30,20,19,808,4
2020/6/21,31,1220,1412,13022,0
2020/6/21,32,71,37,1905,3
2020/6/21,33,244,116,2271,12
2020/6/21,34,339,32,286,2
2020/6/21,35,14623,308,25786,0
2020/6/21,36,469,305,8524,11
2020/6/21,37,492,274,2454,0
2020/6/21,38,24725,664,66862,0
2020/6/21,39,2700,546,12710,41
2020/6/21,40,369,478,0,14
2020/6/21,41,190,187,8329,0
2020/6/21,42,6423,464,9554,0
2020/6/21,43,149,62,0,0
2020/6/21,44,894,27,623,0
2020/6/21,45,653,907,5511,0
2020/6/21,46,81,72,1039,10
2020/6/21,47,526,656,9633,25
2020/6/21,48,2182,3866,58916,0
2020/6/21,49,158,394,3124,23
2020/6/21,50,1611,551,13721,22
2020/6/21,51,6,2,10,0
2020/6/21,52,56,12,805,0
2020/6/21,53,1265,189,3608,27
2020/6/21,54,744,289,5771,17
2020/6/21,55,89,57,2136,0
2020/6/21,56,20,18,0,2
2020/6/20,1,12,21,3266,0
2020/6/20,2,838,547,7651,27
2020/6/20,3,224,511,6951,0
2020/6/20,4,0,0,0,0
2020/6/20,5,1338,3109,9955,6
2020/6/20,6,5424,3893,74817,0
2020/6/20,7,1429,286,8337,10
2020/6/20,8,4251,158,3641,0
2020/6/20,9,531,32,4130,0
2020/6/20,10,504,70,1912,0
2020/6/20,11,3237,4049,24352,165
2020/6/20,12,2642,1800,22278,65
2020/6/20,13,5,22,273,0
2020/6/20,14,17,27,963,1
2020/6/20,15,681,221,3337,0
2020/6/20,16,89,128,1523,1
2020/6/20,17,6829,634,25331,0
2020/6/20,18,2536,315,8600,24
2020/6/20,19,254,0,0,0
2020/6/20,20,524,176,5758,28
2020/6/20,21,3104,870,13037,0
2020/6/20,22,7828,286,13844,40
2020/6/20,23,3052,408,8203,50
2020/6/20,24,102,25,2390,5
2020/6/20,25,6087,448,14258,0
